"Guid","CreatedById","LastModifiedById","SBQQ__Field__c","SBQQ__Formula__c","SBQQ__Order__c","SBQQ__Rule__c","SBQQ__SourceLookupField__c","SBQQ__TargetObject__c","SBQQ__ValueField__c","SBQQ__Value__c"
01d0d7cb-7be3-4dde-b6cc-b6828dbcaacc,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,8da2d10f-2a7e-4e1e-9def-f61cc2faf9b3,"#N/A",Quote Line,"#N/A","#N/A"
02b622ea-669c-4ab1-9a7d-8c1246c57ce1,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,Billing_Approval_Level__c,"IF((TEXT(SBQQ__BillingFrequency__c)  <>  TEXT(SBQQ__Product__r.SBQQ__BillingFrequency__c)) ||
(TEXT(SBQQ__BillingType__c) <> TEXT(SBQQ__Product__r.SBQQ__BillingType__c)), 1, 0)",1.0,3a46d402-175c-4e60-9e90-ee1a09570076,"#N/A",Quote Line,"#N/A","#N/A"
03828a28-f216-49ee-badc-63519b9607a0,bd0a522c-3223-4bc6-bfbf-23d25a36d1fd,bd0a522c-3223-4bc6-bfbf-23d25a36d1fd,Discount (Amt),"#N/A","#N/A",d7f3ec65-bb21-4f5a-b536-c03324c767b7,"#N/A",Quote Line,"#N/A",10
06ba4979-7c11-444d-bfb2-29c93d1cf00d,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,8928ab1e-acb0-43cc-981c-225c70adf838,"#N/A",Quote Line,"#N/A","#N/A"
06f6a2c9-495b-413c-be33-5f6cd437fca0,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,SBQQ__Quantity__c,Protected_Devices__c,1.0,d458914c-4ff1-4bd9-b53f-06bef9b26114,"#N/A",Quote Line,"#N/A","#N/A"
07d77c22-c60c-4ccd-8ac8-5a80f92527e7,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",3dee7eb6-437c-4eed-9034-8063019bc8e5,"#N/A",Quote Line,"#N/A","#N/A"
0a265be5-ce71-4370-b20c-0e91a1191c6a,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,SBQQ__Quantity__c,SBQQ__ProductOption__r.Protected_Devices__c,1.0,872ec8b5-486d-4f45-a04c-ac7f5fb10848,"#N/A",Product Option,"#N/A","#N/A"
0e31fbfa-32f3-4984-b2fc-7bbeab0e745b,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,Billing_Approval_Level__c,"IF((TEXT(SBQQ__BillingFrequency__c)  <>  TEXT(SBQQ__Product__r.SBQQ__BillingFrequency__c)) ||
(TEXT(SBQQ__BillingType__c) <> TEXT(SBQQ__Product__r.SBQQ__BillingType__c)), 1, 0)",1.0,bb2d3be8-d0ab-4a70-bc0e-b1922a4d9d91,"#N/A",Quote Line,"#N/A","#N/A"
14d49ad0-4087-4294-8c88-8e7b18535a8f,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,SBQQ__RenewalUpliftRate__c,"#N/A","#N/A",126cfeb2-f598-4c0d-8893-7f91797ee6f0,"#N/A",Quote,"#N/A",10
1e6f1774-0e4e-4076-ad07-b307a013c0ba,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,8928ab1e-acb0-43cc-981c-225c70adf838,"#N/A",Quote Line,"#N/A","#N/A"
253028a6-692e-45d4-b077-c3173024a425,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,SBQQ__RenewalUpliftRate__c,"#N/A","#N/A",8d695f15-6261-4a2f-b4f6-dd3f14c36a63,"#N/A",Quote,"#N/A",4
26fed30e-37e9-4fb1-a84b-33c2f9282b4e,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,SBQQ__RenewalUpliftRate__c,"#N/A","#N/A",ee973853-78cd-41f4-9cdf-bfdd53bf4baa,"#N/A",Quote,"#N/A",3
2b2458c7-91a0-4e05-ba77-e1bbe2a8e414,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",3dee7eb6-437c-4eed-9034-8063019bc8e5,"#N/A",Quote Line,"#N/A","#N/A"
2d8c08cd-7048-40c5-85fa-41ed4a25b928,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,SBQQ__Quantity__c,Protected_Devices__c,1.0,d2bb53a6-eb8b-4bee-bbb4-4eb5da62f697,"#N/A",Quote Line,"#N/A","#N/A"
2e7d2ee9-05cb-430f-9ba2-80e60972efec,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,SBQQ__Quantity__c,Protected_Devices__c,1.0,e8373f0f-1ce6-4a8d-82b7-d7c053476a36,"#N/A",Quote Line,"#N/A","#N/A"
345d6faf-ed97-41d9-ba4d-edb90952189e,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,SBQQ__Quantity__c,SBQQ__ProductOption__r.Protected_Devices__c,1.0,6705dd3d-2649-455b-a06c-be595ddef130,"#N/A",Product Option,"#N/A","#N/A"
387a6021-6403-4b55-9483-f6fc7a11f662,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",88b39828-264e-47d1-8fa1-ac866541586a,"#N/A",Quote Line,"#N/A","#N/A"
390bfdc3-1fcf-4a94-8d66-793ec20cf5cc,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,Unit Price,"#N/A","#N/A",99ee8900-6b19-483e-bd18-f9f81bf3b6fa,"#N/A",Product Option,"#N/A",123
4102bf68-7a4c-452c-8dd2-3159320689f6,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,SBQQ__Quantity__c,Protected_Devices__c,1.0,3a27e5c1-8dd4-4a93-b84c-da1982932dc0,"#N/A",Quote Line,"#N/A","#N/A"
4147b66a-a24e-4863-b434-8a79821f0e47,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,SBQQ__Quantity__c,Protected_Devices__c,1.0,2464d58f-02a7-4497-861b-da4f2203ad44,"#N/A",Quote Line,"#N/A","#N/A"
44d284a9-5bcc-4198-9eb1-66b38cee3339,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",44481182-667f-474b-a021-57a05fbcc84c,"#N/A",Quote Line,"#N/A","#N/A"
50228674-e061-4439-bc3b-1919282f3652,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,Billing_Approval_Level__c,"IF((TEXT(SBQQ__BillingFrequency__c)  <>  TEXT(SBQQ__Product__r.SBQQ__BillingFrequency__c)) ||
(TEXT(SBQQ__BillingType__c) <> TEXT(SBQQ__Product__r.SBQQ__BillingType__c)), 1, 0)",1.0,995c30d5-d431-4d65-9f3f-549812ffb33d,"#N/A",Quote Line,"#N/A","#N/A"
51cff791-b64b-4d28-950f-e7dada9c4503,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,Discount (%),"#N/A","#N/A",0cf5085b-afd2-4ef2-962f-7d04dcd0431c,"#N/A",Quote Line,"#N/A",45
53756b92-beba-49b2-be11-d8b39df78ba8,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,56a7fdf9-9907-4832-8602-4ac30decb9a0,"#N/A",Quote Line,"#N/A","#N/A"
55d26147-ef85-4198-845d-599d4dd3193e,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",8152756e-1da6-48c7-a60f-fc17a55b1868,"#N/A",Quote Line,"#N/A","#N/A"
