"Guid","CreatedById","LastModifiedById","Name","SBQQ__Active__c","SBQQ__AdvancedCondition__c","SBQQ__ConditionsMet__c","SBQQ__ConfiguratorEvaluationEvent__c","SBQQ__EvaluationEvent__c","SBQQ__EvaluationOrder__c","SBQQ__LookupObject__c","SBQQ__TargetObject__c"
0c38171a-0ba7-48fa-8f5f-43ec4d4d9904,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,Set Professional Services Role Rates,false,"#N/A",All,"#N/A",On Calculate,"#N/A",Professional_Services_Rate__c,Calculator
0cf5085b-afd2-4ef2-962f-7d04dcd0431c,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,Training Price Rule - deactivate,false,"#N/A",All,"#N/A",Before Calculate,"#N/A","#N/A",Calculator
11b93e47-65d0-4054-b57a-29c337f2b9af,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,Lookup Approval Level 2 [Discount],false,"#N/A",All,"#N/A",On Initialization,51.0,Approval_Threshold__c,Calculator
126cfeb2-f598-4c0d-8893-7f91797ee6f0,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,Auto Renewal Uplift of 10%,false,"#N/A",All,"#N/A",Before Calculate,"#N/A","#N/A",Calculator
136ebb91-597f-4742-8d47-62e6453e8d5f,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,Lookup Approval Level 1 [Discount],false,"#N/A",All,"#N/A",On Initialization,50.0,Approval_Threshold__c,Calculator
1ed0c31b-da7e-4bc0-bb0b-533a28f1d3b0,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,Set Quantity for VirusScan Mac,false,"#N/A",All,Edit,Before Calculate,"#N/A","#N/A",Configurator
208b5181-ba92-4dbc-b09c-9e2f357b00fe,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,Training Price Rule - deactivate,false,"#N/A",All,"#N/A",Before Calculate,"#N/A","#N/A",Calculator
2226f68d-835e-43a7-8215-bca75a8aa0b8,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,Lookup Approval Level 1 [Discount],false,"#N/A",All,"#N/A",On Initialization,50.0,Approval_Threshold__c,Calculator
2464d58f-02a7-4497-861b-da4f2203ad44,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,Set VirusScan Device Count (DEP),false,111 AND (222 OR 333 OR 444),Custom,"#N/A",On Initialization,2.0,"#N/A",Calculator
2d5fdcd7-620a-4ee4-b336-309aa455e843,a4c12f85-9390-4661-b2db-0bd04e1913b9,a4c12f85-9390-4661-b2db-0bd04e1913b9,VC_TEST3,false,"#N/A",All,"#N/A",On Calculate,"#N/A","#N/A",Configurator
